Orson Welles,1941,Citizen Kane
Michael Curtiz,1942,Casablanca
Francis Ford Coppola,1972,The Godfather
Victor Fleming,1939,Gone with the Wind
David Lean,1962,Lawrence of Arabia
Victor Fleming,1939,The Wizard of Oz
Mike Nichols,1967,The Graduate
Elia Kazan,1954,On the Waterfront
Steven Spielberg,1993,Schindler's List
Gene Kelly,1952,Singin' in the Rain
Frank Capra,1946,It's a Wonderful Life
Billy Wilder,1950,Sunset Boulevard
David Lean,1957,The Bridge on the River Kwai
Billy Wilder,1959,Some Like It Hot
George Lucas,1977,Star Wars
Joseph L. Mankiewicz,1950,All About Eve
John Huston,1951,The African Queen
Alfred Hitchcock,1960,Psycho
Buster Keaton,1926,The General
Roman Polanski,1974,Chinatown
Miloš Forman,1975,One Flew Over the Cuckoo's Nest
John Ford,1940,The Grapes of Wrath
Stanley Kubrick,1968,2001: A Space Odyssey
John Huston,1941,The Maltese Falcon
Martin Scorsese,1980,Raging Bull
Steven Spielberg,1982,E.T. the Extra-Terrestrial
Stanley Kubrick,1964,Dr. Strangelove
Arthur Penn,1967,Bonnie and Clyde
Francis Ford Coppola,1979,Apocalypse Now
Frank Capra,1939,Mr. Smith Goes to Washington
John Huston,1948,The Treasure of the Sierra Madre
Woody Allen,1977,Annie Hall
Francis Ford Coppola,1974,The Godfather Part II
Fred Zinnemann,1952,High Noon
Robert Mulligan,1962,To Kill a Mockingbird
Frank Capra,1934,It Happened One Night
John Schlesinger,1969,Midnight Cowboy
William Wyler,1946,The Best Years of Our Lives
Billy Wilder,1944,Double Indemnity
David Lean,1965,Doctor Zhivago
Alfred Hitchcock,1959,North by Northwest
Robert Wise,1961,West Side Story
Alfred Hitchcock,1954,Rear Window
Merian C. Cooper,1933,King Kong
D. W. Griffith,1915,The Birth of a Nation
Elia Kazan,1951,A Streetcar Named Desire
Stanley Kubrick,1971,A Clockwork Orange
Martin Scorsese,1976,Taxi Driver
Steven Spielberg,1975,Jaws
David Hand,1937,Snow White and the Seven Dwarfs
D. W. Griffith,1916,Intolerance
George Roy Hill,1969,Butch Cassidy and the Sundance Kid
Peter Jackson,2001,The Lord of the Rings: The Fellowship of the Ring
George Cukor,1940,The Philadelphia Story
Fred Zinnemann,1953,From Here to Eternity
Miloš Forman,1984,Amadeus
Lewis Milestone,1930,All Quiet on the Western Front
Robert Wise,1965,The Sound of Music
Robert Altman,1970,M*A*S*H
Carol Reed,1949,The Third Man
Walt Disney,1940,Fantasia
Nicholas Ray,1955,Rebel Without a Cause
Robert Altman,1975,Nashville
Steven Spielberg,1981,Raiders of the Lost Ark
Alfred Hitchcock,1958,Vertigo
Preston Sturges,1941,Sullivan's Travels
Sydney Pollack,1982,Tootsie
John Ford,1939,Stagecoach
Bob Fosse,1972,Cabaret
Steven Spielberg,1977,Close Encounters of the Third Kind
Jonathan Demme,1991,The Silence of the Lambs
Sidney Lumet,1976,Network
John Frankenheimer,1962,The Manchurian Candidate
Mike Nichols,1966,Who's Afraid of Virginia Woolf?
Vincente Minnelli,1951,An American in Paris
George Stevens,1953,Shane
William Friedkin,1971,The French Connection
Robert Zemeckis,1994,Forrest Gump
Steven Spielberg,1998,Saving Private Ryan
William Wyler,1959,Ben-Hur
Frank Darabont,1994,The Shawshank Redemption
William Wyler,1939,Wuthering Heights
Charlie Chaplin,1925,The Gold Rush
Kevin Costner,1990,Dances with Wolves
Norman Jewison,1967,In the Heat of the Night
Charlie Chaplin,1931,City Lights
George Lucas,1973,American Graffiti
Alan J. Pakula,1976,All the President's Men
John G. Avildsen,1976,Rocky
Michael Cimino,1978,The Deer Hunter
Sam Peckinpah,1969,The Wild Bunch
Charlie Chaplin,1936,Modern Times
Stanley Kubrick,1960,Spartacus
George Stevens,1956,Giant
F. W. Murnau,1927,Sunrise: A Song of Two Humans
Oliver Stone,1986,Platoon
James Cameron,1997,Titanic
Coen brothers,1996,Fargo
Leo McCarey,1933,Duck Soup
Sam Wood,1935,A Night at the Opera
Frank Lloyd,1935,Mutiny on the Bounty
James Whale,1931,Frankenstein
Sidney Lumet,1957,12 Angry Men
Dennis Hopper,1969,Easy Rider
Franklin J. Schaffner,1970,Patton
M. Night Shyamalan,1999,The Sixth Sense
Alan Crosland,1927,The Jazz Singer
George Stevens,1936,Swing Time
George Cukor,1964,My Fair Lady
Alan J. Pakula,1982,Sophie's Choice
George Stevens,1951,A Place in the Sun
Billy Wilder,1960,The Apartment
Martin Scorsese,1990,Goodfellas
Quentin Tarantino,1994,Pulp Fiction
Peter Bogdanovich,1971,The Last Picture Show
John Ford,1956,The Searchers
Spike Lee,1989,Do the Right Thing
Howard Hawks,1938,Bringing Up Baby
Ridley Scott,1982,Blade Runner
Clint Eastwood,1992,Unforgiven
Stanley Kramer,1967,Guess Who's Coming to Dinner
John Lasseter,1995,Toy Story
Michael Curtiz,1942,Yankee Doodle Dandy

